dt,Sales,predmin,predmax
1,1624,1510,1883
2,1737,1737,1928
3,1980,1900,2039
4,2296,1905,2364
5,2181,1853,2246
6,2159,1705,2310
7,2223,1733,2289
8,2467,2146,2713
9,2343,1757,2577
10,2366,1916,2602
11,2271,1771,2452
12,2452,2010,2574
13,2795,2767,2990
14,2739,2711,2821
15,2684,1878,2979
16,2684,2066,2952
17,3113,2210,3175
18,2832,2208,3313
19,3228,3098,3389
20,3873,3214,3873
21,3485,3241,3589
22,3798,3038,4063
23,3570,3391,3748
24,3498,2763,3812
25,3498,2588,3952
26,3917,3525,4387
27,4152,3114,4193
28,3985,3466,4463
29,3985,3466,4503
30,4024,3259,4225
31,4265,3539,5118
